Id,Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Venta_uni_hoy,Venta_hoy,Dev_uni_proxima,Dev_proxima,Demanda_uni_equil,NombreCliente,NombreProducto,Town,State
1,3,1111,1,1125,73948,1242,6,45.84,0,0.0,6,EL JACALITO,Donitas Espolvoreadas 6p 105g BIM 1242,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
2,3,1111,1,1406,50037,1242,11,84.04,0,0.0,11,DON LUIS,Donitas Espolvoreadas 6p 105g BIM 1242,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
3,9,1111,1,1412,74824,1242,8,61.12,0,0.0,8,LA IDEAL,Donitas Espolvoreadas 6p 105g BIM 1242,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
4,3,1111,1,1420,75124,3919,30,137.4,0,0.0,30,LA SURTIDORA,Barra Multigrano Linaza 32g BIM 3919,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
5,3,1111,1,1642,4672598,40217,4,35.92,0,0.0,4,NO IDENTIFICADO,Mantecada Vainilla 3p 157g Prom TR 40217,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
6,6,1111,1,1620,66176,40217,8,71.84,0,0.0,8,REYES,Mantecada Vainilla 3p 157g Prom TR 40217,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
7,3,1111,1,2113,39186,32937,2,14.08,0,0.0,2,LA ELEGANTE,Plativolos 10p 92g MTB MLA 32937,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
8,8,1111,1,1407,2235790,41938,5,49.55,0,0.0,5,ANYY,Mantecadas Nuez 123g BIM 41938,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
9,5,1111,1,1420,1823234,1064,1,16.67,0,0.0,1,MARYSABEL,Panque Marmol 255g BIM 1064,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
10,9,1111,1,1422,1411832,1064,6,100.02,0,0.0,6,LOS JUANES II,Panque Marmol 255g BIM 1064,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
11,8,1111,1,1402,4287343,1240,6,50.28,0,0.0,6,NO IDENTIFICADO,Mantecadas Vainilla 4p 125g BIM 1240,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
12,7,1111,1,1416,74478,31423,1,10.69,0,0.0,1,ISIS,Donas Azucar Tubo 10p 158g BIM 31423,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
13,5,1111,1,1628,33065,9217,2,18.0,0,0.0,2,LICONSA 200297,Cuernitos Famili Pack 3p 150g TR 9217,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
14,6,1111,1,1019,418780,1160,5,94.3,0,0.0,5,LA ROSA,Bimbollos 8p 450g BIM 1160,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
15,6,1111,1,4402,57230,43215,2,20.28,0,0.0,2,SAN JERONIMO,Pastisetas 75g MTB SUA 43215,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
16,6,1111,1,4412,66920,43215,5,50.7,0,0.0,5,LA GRANJITA,Pastisetas 75g MTB SUA 43215,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
17,7,1111,1,1012,548061,3631,1,16.35,0,0.0,1,YENY,Pan Integral 370g BIM 3631,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
18,8,1111,1,1024,843920,3631,1,16.35,0,0.0,1,SERGIO MARTINEZ REZA,Pan Integral 370g BIM 3631,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
19,6,1111,1,1404,49456,1232,3,54.72,0,0.0,3,ELENA,Panque Nuez 255g BIM 1232,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
20,6,1111,1,1417,4398821,1220,1,7.64,0,0.0,1,NO IDENTIFICADO,Colchones 6p 130g BIM 1220,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
21,4,1111,1,1640,1419779,303,10,45.4,0,0.0,10,LOCAL 91 Y 92,Dalmata 1p 55g MLA 303,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
22,6,1111,1,2107,57013,30572,5,31.25,0,0.0,5,EL RIO,Barritas Fresa 67g Prom MTB MLA 30572,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
23,4,1111,1,1015,709249,1146,1,21.39,0,0.0,1,EL PUESTECITO,Pan Integral 675g BIM 1146,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
24,5,1111,1,1216,467091,1146,2,42.78,0,0.0,2,NORMA,Pan Integral 675g BIM 1146,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
