plant_id,plant_name,pdias,longindex,durflow,height,begflow,mycor,vegaer,vegsout,autopoll,insects,wind,lign,piq,ros,semiros,leafy,suman,winan,monocarp,polycarp,seasaes,seashiv,seasver,everalw,everparti,elaio,endozoo,epizoo,aquat,windgl,is_affected
2000321,Aceca,96.84,0,2,7,5,2,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,0
2000322,Aceps,110.72,0,3,8,4,2,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000323,Agrca,0.06,0.666666667,3,2,6,2,0,1,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000324,Agrst,0.08,0.488888889,2,2,7,1,2,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000325,Ajure,1.48,0.476190476,3,2,5,2,2,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2000326,Allpe,2.33,0.5,3,5,4,0,0,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2000327,Anaar,0.38,0.904761905,3,2,6,2,0,0,3,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2000328,Anene,2.55,0.066666667,3,2,3,2,0,2,1,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2000329,Angsy,1.48,0.210526316,3,3,7,2,0,0,0,3,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
2000330,Antod,0.52,0.369565217,3,2,4,2,0,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000331,Arrel,3.29,0.206896552,4,5,6,1,0,1,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2000332,Artvu,0.13,0.8,5,5,7,2,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2000333,Aruma,268.45,0,3,3,4,2,0,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2000334,Betsp,0.1,NA,2,8,4,2,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000335,Brasy,4.16,0.222222222,3,3,6,2,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000336,Brost,7.92,0,3,3,5,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2000337,Brydi,14.6,NA,3,5,6,NA,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000338,Calse,31.28,0.555555556,4,5,6,2,0,1,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000339,Calvu,0.04,0.827586207,2,4,8,2,0,0,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2000340,Carbe,63.8,0,2,8,4,NA,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000341,Cardi,0.8,NA,2,3,5,NA,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000342,Cheal,NA,0.930555556,4,5,7,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2000343,Chema,0.83,1,6,4,4,1,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2000344,Cirar,1.41,0.520833333,3,4,7,2,0,2,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2000345,Cirlu,1.97,0,3,2,6,2,0,2,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2000346,Cirvu,2.37,0.388888889,4,5,7,1,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2000347,Conmj,2.4,0.5,2,1,5,2,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2000348,Corav,1042,0,4,6,1,2,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000350,Corsa,169.4,0,2,5,5,NA,0,0,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000351,Crala,525,0,2,7,5,NA,0,0,1,3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000352,Cramo,280,0,2,7,5,2,0,0,1,3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000353,Cucba,NA,NA,3,4,7,NA,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000354,Cytsc,7.78,0.5,2,5,5,2,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
2000355,Dacgl,0.99,0.425531915,3,3,5,2,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000356,Dapla,103.4,NA,2,4,3,NA,0,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2000357,Dauca,1.09,0.722222222,4,2,6,2,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2000358,Desfl,0.68,0.157894737,2,2,6,2,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000360,Digpu,0.07,0.8,4,4,6,1,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2000361,Elyca,4.13,0.5,1,4,7,2,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000362,Epipa,NA,0.166666667,4,3,6,2,1,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2000363,Eupam,4.6,1,3,4,4,NA,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2000364,Evoeu,NA,0,2,6,5,2,0,0,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2000365,Fagsy,254.01,0,2,8,4,2,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000366,Fraal,493.6,0,5,5,5,NA,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000367,Fraan,77.4,0.111111111,1,8,5,NA,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000368,Frasp,77.41,0.111111111,2,8,4,2,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000369,Frave,NA,0.411764706,3,2,4,2,2,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
2000370,Galap,8.34,0.310344828,3,5,6,1,0,0,3,2,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2000371,Galmo,0.53,0.214285714,4,3,5,NA,0,1,2,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2000372,Gerro,1.6,0.363636364,5,3,5,1,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
2000373,Geuur,2.45,0.2,4,3,5,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000374,Glehe,0.68,0.3,3,2,3,1,2,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000375,Hedhe,256.17,0,3,8,9,2,2,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2000376,Holla,0.39,0.603174603,2,3,6,2,0,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2000377,Holmo,0.33,0,2,2,6,2,0,2,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000378,Hyahi,NA,NA,1,2,5,NA,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2000379,Hyano,5.84,0,2,2,4,2,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2000380,Hyppe,0.1,0.8125,3,3,6,2,0,2,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2000381,Ileaq,140,0,2,7,5,2,0,0,0,4,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2000382,Junco,0.02,0.615384615,3,4,5,NA,0,0,2,1,3,0,0,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000383,Junef,0.01,0.865671642,3,5,6,NA,0,1,2,1,3,0,0,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000384,Lacse,0.64,0.875,4,4,7,NA,0,0,3,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2000385,Lapco,1.04,0.928571429,3,3,7,2,0,0,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2000386,Launo,NA,NA,3,5,3,NA,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2000387,Leuvu,0.38,0.522727273,4,3,6,2,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000388,Ligvu,179.39,0,2,6,6,2,0,0,2,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2000390,Lonpe,NA,0,4,6,6,2,0,0,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2000391,Luzmu,NA,0.5,2,1,4,NA,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2000392,Malsy,NA,NA,2,6,5,2,0,0,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000393,Medlu,1.99,0.741935484,7,2,5,2,0,0,3,2,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2000394,Melof,NA,NA,2,3,7,NA,0,0,2,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2000395,Melpr,NA,0,3,3,5,NA,0,0,3,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2000396,Melun,3.73,0,2,4,5,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2000398,Milef,1.08,0.25,2,3,5,1,0,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000399,Molca,0.81,0.470588235,3,4,6,2,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2000400,Paprh,0.11,0.866666667,3,2,5,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2000401,Plama,0.26,0.78125,5,2,6,2,0,0,3,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2000402,Poaan,0.3,0.888888889,12,2,3,2,0,0,3,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
2000403,Poane,0.2,0.2,3,4,6,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000404,Poapr,0.3,0.584615385,3,2,5,1,0,1,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000405,Poatr,0.17,0.823529412,1,2,6,1,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000406,Polav,NA,0.8125,5,4,7,1,0,0,3,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2000407,Polin,NA,NA,3,3,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
